Time,3D wind speed (m/s),Wind direction (deg),u (m/s),v (m/s),w (m/s),temp (degC),Drive tracker angle (deg),Drive torque north (kNm),Panel defl mid (mm),Drag force (kN),Lift force (kN),Drag force tracker angle (kN),Lift force tracker angle (kN),AccNW X (g),AccNW Y (g),AccNE X (g),AccNE Y (g)
2019-10-22 03:39:48.000000,4.6599007,257.54547,-4.5444036,-1.0036863,0.23597273,10.154514,-40.44959,1.5779955,-1.4524032,2.461932,-2.9340165,2.4848785,-2.9146078,-0.048456926,0.007913618,-0.6835808,-0.6516208
2019-10-22 03:39:48.020001,4.659763,257.53207,-4.544037,-1.0047212,0.2359095,10.15296,-40.447216,1.577571,-1.4047356,2.4612699,-2.933227,2.4840896,-2.9139266,-0.030005084,0.009972663,-0.6985496,-0.65396863
2019-10-22 03:39:48.040001,4.6597753,257.5398,-4.544183,-1.0041102,0.23594679,10.155216,-40.44683,1.5497476,-1.3601158,2.4178607,-2.881494,2.4402587,-2.8625505,-0.03960304,0.005064227,-0.70105755,-0.6514577
2019-10-22 03:39:48.060002,5.624049,237.23671,-4.6206317,-2.9736063,1.1988987,10.3476515,-40.450085,1.5248183,-1.312926,2.3789668,-2.8351421,2.4011645,-2.8163671,-0.056514334,-0.00051755615,-0.7012686,-0.64785445
2019-10-22 03:39:48.080003,5.625453,237.22455,-4.6210966,-2.9752924,1.1995097,10.348604,-40.451576,1.4872315,-1.3141797,2.3203254,-2.765256,2.3420472,-2.7468824,0.012274671,0.0036590316,-0.7058998,-0.6483704
2019-10-22 03:39:48.100003,5.62524,237.23022,-4.621216,-2.974721,1.1994672,10.34868,-40.44865,1.4550474,-1.3170551,2.2701128,-2.705415,2.2912273,-2.687556,0.013938927,0.0060160556,-0.7285277,-0.65169275
2019-10-22 03:39:48.120004,5.6250772,237.23563,-4.621408,-2.9742274,1.19919,10.348804,-40.45047,1.4232491,-1.3908365,2.2205024,-2.6462915,2.241239,-2.628752,0.021213263,0.00015274537,-0.7445153,-0.6444701
2019-10-22 03:39:48.140005,5.624914,237.22617,-4.62077,-2.9748986,1.1992159,10.348329,-40.448486,1.3879005,-1.3586663,2.1653526,-2.5805666,2.1854856,-2.563538,0.031276185,-0.0031085762,-0.7874729,-0.64085066
2019-10-22 03:39:48.160005,5.6244,237.22969,-4.6205516,-2.9743557,1.1989967,10.347476,-40.44981,1.3616207,-1.4059892,2.1243517,-2.5317037,2.1441617,-2.5149484,0.02705796,-0.003173778,-0.7852311,-0.6413391
2019-10-22 03:39:48.180006,5.624964,237.2309,-4.621042,-2.9745343,1.1993073,10.349281,-40.447327,1.339354,-1.4066787,2.089612,-2.4903026,2.1089907,-2.4739127,0.068948925,0.003198961,-0.7602214,-0.6438408
