Time,3D wind speed (m/s),Wind direction (deg),u (m/s),v (m/s),w (m/s),temp (degC),Drive tracker angle (deg),Drive torque north (kNm),Panel defl mid (mm),Drag force (kN),Lift force (kN),Drag force tracker angle (kN),Lift force tracker angle (kN),AccNW X (g),AccNW Y (g),AccNE X (g),AccNE Y (g)
2019-10-04 17:35:55.000000,9.56838,270.04733,-9.541354,0.0078801485,0.71860605,14.153721,40.542965,-2.53035,2.69388,3.9477615,4.7047586,3.992168,4.6671367,-0.018210264,-0.039901424,-0.9601598,0.68713176
2019-10-04 17:35:55.020001,9.567942,270.04828,-9.540954,0.008039049,0.71808213,14.153996,40.54109,-2.5790508,2.677513,4.0237427,4.7953095,4.068848,4.7570972,-0.050700106,0.036744505,-1.1612768,0.6354323
2019-10-04 17:35:55.040001,9.5676155,270.04276,-9.540588,0.007119781,0.71860373,14.154172,40.54164,-2.5440109,2.7688835,3.9690747,4.730159,4.0136123,4.6924267,-0.045758527,0.042330552,-0.46549875,0.62575763
2019-10-04 17:35:55.060002,9.56818,270.03586,-9.541167,0.0059691677,0.7184458,14.1553,40.545723,-2.5076203,2.8337173,3.9122994,4.6624966,3.95653,4.6250224,-0.12843806,-0.012177755,-0.8074239,0.6725692
2019-10-04 17:35:55.080003,9.568017,270.0338,-9.541007,0.005632404,0.7183984,14.154648,40.539486,-2.425076,2.6312084,3.783517,4.5090194,3.825804,4.473195,-0.13344485,-0.025661783,-0.65968853,0.6999512
2019-10-04 17:35:55.100003,9.568154,270.0437,-9.541139,0.007274877,0.7184689,14.155776,40.544342,-2.3125858,2.4903524,3.6080136,4.299863,3.648701,4.2653913,0.30324325,0.025228724,-0.65759975,0.6296136
2019-10-04 17:35:55.120004,9.568217,270.04288,-9.54122,0.0071384506,0.71822804,14.154397,40.54517,-2.2088554,2.6681108,3.446177,4.1069937,3.4850986,4.0740175,0.31532508,0.005277505,-1.0494494,0.668959
2019-10-04 17:35:55.140005,9.569258,270.04422,-9.54235,0.0073622535,0.7170782,14.152868,40.46328,-2.0990665,2.8017197,3.2748883,3.9028597,3.3063385,3.8762527,-0.09899214,0.041358616,-0.18841113,0.6505598
2019-10-04 17:35:55.160005,10.764393,269.91223,-10.705063,-0.016400876,-1.1285056,14.180018,40.459473,-2.0452719,2.6180694,3.19096,3.8028376,3.221353,3.7771263,-0.18764617,-0.0030043747,-0.9451589,0.66943216
2019-10-04 17:35:55.180006,10.763478,269.91235,-10.704158,-0.016373968,-1.1283637,14.17889,40.46466,-2.008071,2.2263238,3.1329203,3.7336688,3.1630962,3.708139,-0.13178425,0.039351366,-0.95662624,0.62495536
2019-10-04 17:35:55.200007,10.764054,269.90817,-10.70471,-0.017155789,-1.1286027,14.178339,40.463665,-1.973417,2.2255483,3.0788546,3.669236,3.1084468,3.6442,0.07548102,0.012280327,-0.22220738,0.6404181
2019-10-04 17:35:55.220007,10.76398,269.90466,-10.704643,-0.017814144,-1.1285286,14.179943,40.462563,-1.9518837,2.3804364,3.0452588,3.629198,3.0744588,3.604495,-0.1095115,-0.028943824,-1.2229149,0.68323064
2019-10-04 17:35:55.240008,10.764393,269.90643,-10.705043,-0.017483015,-1.1286739,14.178715,40.465378,-1.928498,2.3814552,3.0087736,3.5857165,3.0377982,3.5611603,0.41958752,-0.026694657,-0.91042036,0.67859924
2019-10-04 17:35:55.260009,10.7643175,269.91006,-10.704981,-0.016804008,-1.1285537,14.179693,40.465652,-1.916921,2.240129,2.9907115,3.564191,3.0195792,3.5397677,-0.053131588,-0.025692862,-0.47682688,0.70523554
2019-10-04 17:35:55.280009,10.764756,269.90616,-10.705404,-0.017534653,-1.128712,14.17839,40.464714,-1.8951176,2.4427712,2.9566948,3.5236514,2.9851768,3.4995544,-0.36252883,0.018876094,-0.63457716,0.6314447
2019-10-04 17:35:55.300010,10.7640295,269.90967,-10.704681,-0.016874999,-1.128641,14.179543,40.46339,-1.8894448,2.6149042,2.947844,3.5131035,2.97616,3.489148,-0.046988286,0.036184497,-0.78322035,0.6009303
2019-10-04 17:35:55.320011,10.764531,269.911,-10.705162,-0.01662563,-1.1288773,14.1785145,40.464714,-1.9212046,2.4590364,2.9973946,3.5721555,3.0262687,3.547727,-0.21661189,-0.0022097628,-0.563487,0.61897516
2019-10-04 17:35:55.340011,10.763842,269.91614,-10.704508,-0.015670108,-1.1285192,14.1798935,40.463943,-1.9815595,2.2150965,3.091558,3.6843755,3.1212902,3.6592216,-0.08368477,-0.0019361578,-0.46755084,0.68240005
2019-10-04 17:35:55.360012,10.764305,269.91074,-10.704967,-0.016676372,-1.1285831,14.177963,40.465267,-2.0899978,2.2878907,3.2607396,3.885998,3.292188,3.8593915,0.3003468,0.026561406,-0.61526096,0.64077413
2019-10-04 17:35:55.380013,10.763804,269.90115,-10.7044325,-0.018467145,-1.1288317,14.17849,40.464878,-2.2225163,2.5082788,3.4674904,4.132394,3.5009046,4.104124,0.2731916,-0.01716236,-1.0503833,0.66567725
2019-10-04 17:35:55.400013,11.274689,260.80295,-11.128788,-1.8018857,-0.14797342,14.454959,40.462948,-2.2860744,2.5685527,3.5666513,4.2505693,3.600879,4.2216125,0.035629086,-0.052246552,-0.9802699,0.6879325
