Time,3D wind speed (m/s),Wind direction (deg),u (m/s),v (m/s),w (m/s),temp (degC),Drive tracker angle (deg),Drive torque north (kNm),Panel defl mid (mm),Drag force (kN),Lift force (kN),Drag force tracker angle (kN),Lift force tracker angle (kN),AccNW X (g),AccNW Y (g),AccNE X (g),AccNE Y (g)
2020-01-03 01:56:36.000000,5.783429,279.3698,-5.6936717,0.9395001,-0.38404784,3.0505157,-10.142795,0.89591473,-1.1487142,0.18880336,-1.070757,0.19147134,-1.0702832,0.0090320865,-0.0029806094,-0.97353923,-0.15740676
2020-01-03 01:56:36.020001,5.7837048,279.38034,-5.693788,0.94059294,-0.38380468,3.0501645,-10.142022,0.8925188,-1.1626996,0.1880877,-1.0666983,0.19073121,-1.0662289,0.025041476,-0.0009172996,-0.99441266,-0.15888423
2020-01-03 01:56:36.040001,6.0149546,282.81564,-5.8571544,1.3323952,-0.31328037,3.0757108,-10.139539,0.89614624,-1.1989673,0.18885215,-1.0710337,0.19145997,-1.0705706,0.028086618,0.0001557922,-1.0070938,-0.15813401
2020-01-03 01:56:36.060002,6.016684,282.8082,-5.8590174,1.3320168,-0.31326732,3.0756855,-10.144726,0.8971496,-1.1664916,0.18906358,-1.0722328,0.19177137,-1.071752,-0.0074556777,-0.0015486017,-0.967949,-0.15800004
2020-01-03 01:56:36.080003,6.016045,282.8151,-5.8582225,1.3325795,-0.31346324,3.075184,-10.140311,0.9027452,-1.1365622,0.19024278,-1.0789205,0.19288437,-1.0784513,-0.0064392085,-0.00037983965,-0.9761443,-0.15876709
2020-01-03 01:56:36.100003,6.015732,282.8101,-5.858047,1.3319991,-0.31318623,3.0741313,-10.142684,0.91030884,-1.1493489,0.19183673,-1.0879601,0.19454549,-1.0874791,0.018597744,0.00049642724,-0.9946559,-0.15929607
2020-01-03 01:56:36.120004,6.01602,282.81174,-5.8582854,1.3322325,-0.31326997,3.075034,-10.143512,0.9308002,-1.1785495,0.19615506,-1.1124505,0.19894083,-1.1119556,0.009987007,0.00031300835,-0.9747737,-0.15827027
2020-01-03 01:56:36.140005,6.0160327,282.82172,-5.8580666,1.3332549,-0.31327638,3.0755353,-10.141194,0.9368589,-1.1668129,0.19743185,-1.1196916,0.20019051,-1.1192017,-0.014681872,0.000883374,-0.9708478,-0.1607674
2020-01-03 01:56:36.160005,6.015807,282.80902,-5.858136,1.3319045,-0.3133821,3.0742316,-10.139539,0.9516389,-1.1676198,0.20054655,-1.1373559,0.2033159,-1.1368642,-0.0070455554,0.0023915523,-0.96481925,-0.16093658
2020-01-03 01:56:36.180006,6.0157566,282.81497,-5.857944,1.3325014,-0.31346253,3.0740561,-10.142187,0.96352464,-1.1659118,0.20305134,-1.1515613,0.20590846,-1.1510539,-0.030026414,0.0018632329,-0.960403,-0.16220582
2020-01-03 01:56:36.200007,6.0164337,282.81525,-5.8586035,1.3326808,-0.31336886,3.0749586,-10.143953,0.9606304,-1.1669068,0.20244141,-1.1481023,0.20532532,-1.14759,-0.020692933,0.0046571717,-0.9574989,-0.16496705
2020-01-03 01:56:36.220007,6.0164337,282.81604,-5.858595,1.332764,-0.31318265,3.0753598,-10.143787,0.9751403,-1.1396649,0.20549919,-1.1654438,0.20842329,-1.1649244,-0.006460537,0.0028223735,-0.960491,-0.16418469
2020-01-03 01:56:36.240008,6.015857,282.8078,-5.858212,1.3317925,-0.31340474,3.0748332,-10.138048,0.9939723,-1.166523,0.20946781,-1.187951,0.21232945,-1.1874429,-0.008559899,0.0034670816,-0.94705266,-0.16388996
2020-01-03 01:56:36.260009,6.015531,282.81537,-5.8577247,1.3324956,-0.31325883,3.075159,-10.141856,0.9876049,-1.1826786,0.20812596,-1.1803409,0.21104766,-1.1798221,-0.02054607,0.0026858756,-0.96079767,-0.1630609
2020-01-03 01:56:36.280009,5.7568994,287.54443,-5.4885793,1.7352232,-0.079961285,3.1763408,-10.145001,0.9821251,-1.1965542,0.20697115,-1.1737918,0.20994107,-1.1732643,-0.024219498,0.0022026491,-0.9430808,-0.16274934
2020-01-03 01:56:36.300010,5.771687,287.3003,-5.509883,1.7161686,-0.091229126,3.1718783,-10.144505,0.9539543,-1.1497484,0.2010345,-1.1401232,0.20390934,-1.1396126,-0.014621542,0.0028071394,-0.9556388,-0.16395196
2020-01-03 01:56:36.320011,5.7716618,287.29828,-5.5099196,1.7159668,-0.091225974,3.1733575,-10.143843,0.93697464,-1.1486593,0.19745624,-1.1198299,0.20026697,-1.1193306,0.013366706,0.0033153498,-0.95416266,-0.16407445
2020-01-03 01:56:36.340011,5.772025,287.29556,-5.510349,1.715815,-0.09116566,3.1718283,-10.140311,0.9122769,-1.1505476,0.19225149,-1.0903124,0.19492097,-1.0898383,-0.0075556184,0.00082670304,-0.9649164,-0.1616156
2020-01-03 01:56:36.360012,5.771524,287.29422,-5.509912,1.7155378,-0.09103117,3.1736584,-10.143787,0.89776707,-1.1665465,0.18919371,-1.0729709,0.1918858,-1.0724926,-0.0023672378,-0.00084783195,-0.9696103,-0.15986562
2020-01-03 01:56:36.380013,5.771624,287.30164,-5.5097847,1.7162791,-0.09115108,3.1730316,-10.142408,0.88800377,-1.1826786,0.18713622,-1.0613022,0.18977349,-1.0608338,0.005410458,0.0009674664,-0.9766071,-0.16186516
2020-01-03 01:56:36.400013,5.772063,287.29718,-5.510341,1.7159827,-0.09086079,3.173132,-10.144229,0.8660074,-1.1827804,0.18250073,-1.0350131,0.18510555,-1.0345503,0.0041368245,-0.00037740218,-0.96134686,-0.16171512
2020-01-03 01:56:36.420014,5.77091,287.29813,-5.5092087,1.7157279,-0.09111779,3.1721792,-10.145112,0.8770827,-1.1981368,0.18483473,-1.0482498,0.18748902,-1.0477784,0.01166345,-0.0007948172,-0.9760541,-0.1589577
2020-01-03 01:56:36.440015,5.7716994,287.29773,-5.5099735,1.7159258,-0.09113576,3.1714773,-10.145167,0.87233615,-1.2510146,0.18383445,-1.0425769,0.1864754,-1.0421078,0.030845344,-0.0032609173,-0.98432434,-0.15672699
2020-01-03 01:56:36.460015,5.7719626,287.29706,-5.5102468,1.7159388,-0.09107111,3.1734579,-10.144118,0.8644252,-1.2933388,0.1821673,-1.0331221,0.18476537,-1.0326606,0.018595306,-0.0041639963,-0.9807288,-0.15668258
2020-01-03 01:56:36.480016,5.772063,287.29327,-5.5104547,1.7156059,-0.09105894,3.1729312,-10.141139,0.852578,-1.2486093,0.17967065,-1.0189629,0.18218015,-1.0185173,0.009553728,-0.0033864465,-1.0130206,-0.15711817
2020-01-03 01:56:36.500017,5.7721505,287.29382,-5.510521,1.7156843,-0.09112086,3.1719284,-10.14147,0.8415798,-1.2297664,0.17735292,-1.0058184,0.17983586,-1.0053774,0.029444957,-0.003654567,-0.993543,-0.15485452
2020-01-03 01:56:36.520017,5.771336,287.30017,-5.509555,1.716052,-0.09102271,3.1714773,-10.143567,0.84011334,-1.2303149,0.17704388,-1.0040658,0.17955922,-1.003619,0.022577696,-0.004056748,-0.9936769,-0.15546693
2020-01-03 01:56:36.540018,5.5885844,286.8993,-5.3407435,1.6225687,0.27568597,3.1492152,-10.139814,0.84999245,-1.2306204,0.17912577,-1.0158727,0.18160419,-1.0154326,0.025116432,-0.0011208275,-0.9909265,-0.15773824
2020-01-03 01:56:36.560019,5.5884714,286.89917,-5.340643,1.622527,0.27559832,3.1481874,-10.143787,0.85547227,-1.2457026,0.18028058,-1.022422,0.18284583,-1.0219663,-0.010495944,0.0004531623,-0.98767287,-0.15856424
2020-01-03 01:56:36.580019,5.588246,286.8966,-5.3404956,1.6222209,0.27567515,3.1483629,-10.144395,0.86091346,-1.1963583,0.18142724,-1.0289251,0.18401974,-1.0284646,-0.016025586,0.0020423862,-0.9680721,-0.16123053
2020-01-03 01:56:36.600020,5.5896497,286.90268,-5.3416634,1.6231933,0.27579424,3.1484883,-10.1419115,0.86720365,-1.167612,0.18275283,-1.0364428,0.18531933,-1.035987,0.0062313117,0.003866825,-0.97308415,-0.16135302
2020-01-03 01:56:36.620021,5.5883336,286.90268,-5.340419,1.6228151,0.27545375,3.1491902,-10.140973,0.870561,-1.135575,0.18346035,-1.0404553,0.18601978,-1.0400008,0.0018406278,0.0034987687,-0.9687299,-0.16045967
2020-01-03 01:56:36.640021,5.588246,286.90714,-5.3401985,1.6232015,0.27566636,3.149817,-10.143622,0.8972654,-1.1659666,0.18908797,-1.0723711,0.19177549,-1.0718939,-0.014969505,0.00030996153,-0.9678289,-0.16065258
2020-01-03 01:56:36.660022,5.5883713,286.90512,-5.3403726,1.6230512,0.27571648,3.149441,-10.141746,0.92400837,-1.2289358,0.19472374,-1.1043333,0.1974552,-1.1038481,-0.013870159,0.0028022644,-0.9639427,-0.16263297
2020-01-03 01:56:36.680023,5.5884967,286.8989,-5.3406734,1.6225085,0.27562594,3.1478364,-10.143512,0.94125813,-1.2294137,0.19835894,-1.1249493,0.20117602,-1.124449,-0.0070565245,0.002526222,-0.95640594,-0.16302186
2020-01-03 01:56:36.700023,5.5880704,286.90308,-5.3401403,1.6227721,0.27575737,3.1479368,-10.141967,0.9668048,-1.222762,0.20374258,-1.1554816,0.206605,-1.1549733,-0.012269281,0.0019454972,-0.9656636,-0.160896
2020-01-03 01:56:36.720024,5.588459,286.90106,-5.340581,1.6227002,0.27551854,3.1499424,-10.144063,0.9750245,-1.1641725,0.2054748,-1.1653055,0.20840415,-1.1647851,0.008185029,0.0016121746,-0.96083134,-0.15964285
2020-01-03 01:56:36.740025,5.588196,286.89606,-5.340461,1.6221547,0.2757225,3.1483378,-10.143401,0.98158485,-1.1831408,0.20685731,-1.173146,0.20979284,-1.1726247,-0.016521633,0.0016676268,-0.96849436,-0.16208945
2020-01-03 01:56:36.760025,5.5880456,286.9035,-5.3401117,1.6228052,0.27561542,3.1483629,-10.141359,1.0003783,-1.2433678,0.2108178,-1.1956071,0.21376695,-1.1950834,-0.00815709,0.003821732,-0.95332134,-0.16369551
2020-01-03 01:56:36.780026,5.5958405,286.90094,-5.3477826,1.6248771,0.2728207,3.1414185,-10.13838,1.0075175,-1.2284658,0.2123223,-1.2041396,0.2152299,-1.2036233,-0.010257672,0.0016871265,-0.9782507,-0.16261767
2020-01-03 01:56:36.800027,5.832579,286.90402,-5.577506,1.6950021,-0.19332583,3.1258001,-10.144009,1.0167791,-1.2280662,0.21427406,-1.2152086,0.21732771,-1.2146662,0.00037869153,-0.00042980758,-0.9636552,-0.15913455
2020-01-03 01:56:36.820027,5.8330426,286.9054,-5.5779023,1.6952705,-0.19351356,3.1231177,-10.141028,1.0087523,-1.2024773,0.21258253,-1.2056154,0.2155494,-1.2050885,0.0074421773,0.0014811611,-0.968102,-0.15956093
2020-01-03 01:56:36.840028,5.8331428,286.90674,-5.577963,1.6954316,-0.19337508,3.124672,-10.144118,0.99678934,-1.2696853,0.21006148,-1.1913178,0.21305737,-1.1907856,-0.005359972,0.002379365,-0.9547562,-0.16270493
2020-01-03 01:56:36.860029,5.832128,286.9008,-5.577165,1.6945556,-0.19346374,3.1240702,-10.139153,0.98540527,-1.2639422,0.20766242,-1.1777121,0.21052209,-1.1772043,-0.015954286,0.0016871265,-0.9681226,-0.16305937
2020-01-03 01:56:36.880029,5.833168,286.9074,-5.5779686,1.695503,-0.19334535,3.1241705,-10.141856,0.96850276,-1.2613802,0.20410042,-1.1575109,0.20696561,-1.1570021,0.0091594495,-0.00010745349,-0.9654923,-0.16009144
2020-01-03 01:56:36.900030,5.8325915,286.90646,-5.5774426,1.6952443,-0.19341798,3.124321,-10.143181,0.9666505,-1.2294451,0.20371006,-1.1552972,0.20659648,-1.1547846,0.012071744,0.00062134705,-0.97011507,-0.15909168
